District,Party Numer
11,2
11,5
11,8
11,41
12,2
12,3
12,5
12,8
12,9
12,10
12,17
12,27
12,41
12,42
13,2
13,5
13,8
13,10
13,27
13,41
14,2
14,5
14,8
14,27
14,41
15,2
15,5
15,27
15,41
16,2
16,5
16,8
16,27
16,41
17,2
17,3
17,5
17,10
17,18
17,20
17,23
17,27
17,37
17,41
18,2
18,3
18,5
18,8
18,10
18,18
18,27
18,41
19,7
19,41
21,2
21,3
21,5
21,8
21,10
21,27
21,41
22,2
22,3
22,5
22,8
22,17
22,20
22,27
22,41
23,2
23,5
23,41
24,2
24,5
24,8
24,20
24,41
25,2
25,3
25,5
25,8
25,41
26,3
26,5
26,8
26,10
26,41
26,42
27,2
27,5
27,8
27,10
27,18
27,23
27,27
27,41
28,2
28,3
28,8
28,10
28,27
28,41
29,2
29,3
29,17
29,41
30,2
30,5
30,6
30,8
30,18
30,41
32,2
32,3
32,5
32,10
32,20
32,27
32,37
32,38
32,41
33,2
33,5
33,8
33,27
33,41
35,2
35,3
35,5
35,8
35,27
35,41
35,42
35,43
36,2
36,5
36,8
36,10
36,27
36,37
36,41
37,2
37,5
37,8
37,31
37,41
38,2
38,3
38,5
38,8
38,41
39,2
39,5
39,41
39,42
40,2
40,3
40,5
40,8
40,27
40,41
41,2
41,3
41,8
41,41
43,5
43,41
44,2
44,3
44,5
44,8
44,27
44,41
45,2
45,5
45,27
45,41
45,42
46,5
46,8
46,27
46,41
47,41
47,42
48,2
48,3
48,5
48,8
48,27
48,41
49,2
49,5
49,8
49,27
49,41
50,2
50,5
50,18
50,27
50,41
51,2
51,3
51,5
51,17
51,18
51,27
51,41
51,42
52,5
52,18
52,27
52,41
53,2
53,5
53,8
53,23
53,27
53,41
54,2
54,5
54,8
54,10
54,20
54,41
55,2
55,5
55,18
55,23
55,27
55,41
56,2
56,5
56,8
56,27
56,41
57,2
57,5
57,8
57,41
58,2
58,3
58,5
58,8
58,27
58,41
60,2
60,3
60,5
60,10
60,27
60,41
60,42
61,2
61,5
61,8
61,10
61,41
62,2
62,3
62,5
62,8
62,10
62,20
62,27
62,41
63,2
63,5
63,41
64,2
64,5
64,10
64,20
64,27
64,41
65,2
65,5
65,27
65,41
66,2
66,5
66,27
66,41
67,2
67,5
67,8
67,27
67,41
67,42
68,2
68,5
68,41
69,2
69,5
69,27
69,41
80,2
80,3
80,5
80,8
80,41
81,2
81,3
81,5
81,8
81,18
81,27
81,41
82,2
82,3
82,5
82,8
82,41
83,2
83,3
83,5
83,8
83,41
84,2
84,5
84,8
84,41
